,accuracy,loss,val_accuracy,val_loss
0,0.502068042755127,1.0019540786743164,0.5072115659713745,0.7841231226921082
1,0.5231887698173523,0.9220572113990784,0.4951923191547394,1.4313831329345703
2,0.5546875,1.0599817037582397,0.5072115659713745,0.9393577575683594
3,0.5174204111099243,0.9295891523361206,0.5160256624221802,0.8009703159332275
4,0.5212545990943909,0.9218009114265442,0.5220352411270142,0.8670259118080139
5,0.46875,1.0354536771774292,0.5184294581413269,0.8408952355384827
6,0.5281479954719543,0.919100821018219,0.515625,0.9352482557296753
7,0.5215736031532288,0.9200382828712463,0.4951923191547394,1.068727970123291
8,0.421875,1.050935983657837,0.5148237347602844,1.1721216440200806
9,0.5403262972831726,0.8869491815567017,0.515625,1.1009563207626343
