,accuracy,loss,val_accuracy,val_loss
0,0.8422285914421082,0.3456535339355469,0.9361744523048401,0.185948446393013
1,0.9113714098930359,0.21175169944763184,0.9437775015830994,0.15372556447982788
2,0.9264000058174133,0.1816275268793106,0.9563825726509094,0.12660224735736847
3,0.9366857409477234,0.15630964934825897,0.9559823870658875,0.12946097552776337
4,0.942799985408783,0.1408635824918747,0.9627851247787476,0.12333270907402039
5,0.9497143030166626,0.12844564020633698,0.9621848464012146,0.11917263269424438
6,0.9551428556442261,0.1157977506518364,0.9633853435516357,0.1233195811510086
7,0.9577142596244812,0.10752683877944946,0.9589836001396179,0.11331946402788162
8,0.9614285826683044,0.09878894686698914,0.9571828842163086,0.13610011339187622
9,0.9663428664207458,0.09454376995563507,0.9659863710403442,0.12294655293226242
10,0.9679999947547913,0.08721375465393066,0.9651860594749451,0.12036459892988205
11,0.9705714583396912,0.07968782633543015,0.9651860594749451,0.1427050232887268
12,0.9738285541534424,0.07253006100654602,0.9645858407020569,0.1412411779165268
13,0.974057137966156,0.07105473428964615,0.9635854363441467,0.1553449183702469
14,0.973714292049408,0.07565393298864365,0.9501800537109375,0.19898509979248047
