,accuracy,loss,val_accuracy,val_loss
0,0.5934053063392639,0.7155442237854004,0.6534455418586731,0.620599091053009
1,0.677895724773407,0.6043713688850403,0.6979166865348816,0.5847353935241699
2,0.640625,0.6109287738800049,0.6850961446762085,0.6014741659164429
3,0.7133133411407471,0.5581093430519104,0.6602563858032227,0.6343615055084229
4,0.7315027713775635,0.5358138084411621,0.7075320482254028,0.5811760425567627
5,0.7578125,0.5381543636322021,0.7047275900840759,0.5824025273323059
6,0.7633271813392639,0.5060121417045593,0.7415865659713745,0.537643551826477
7,0.7640747427940369,0.49129852652549744,0.7227563858032227,0.5590662956237793
8,0.7890625,0.4495457410812378,0.7123397588729858,0.5593922734260559
9,0.7818244695663452,0.4765317440032959,0.7319711446762085,0.5458100438117981
10,0.7971850633621216,0.4444582760334015,0.723557710647583,0.558674156665802
11,0.7890625,0.444669634103775,0.7263621687889099,0.5590210556983948
